scan_date,ticker,company,strategy,strategies_count,price_at_scan,score,wr,avg,adx,rsi,vol_ratio,price_d5,ret_d5,r_multiple_d5,spy_ret_d5,excess_ret_d5,hit_stop_loss_d5,price_d10,ret_d10,r_multiple_d10,spy_ret_d10,excess_ret_d10,hit_stop_loss_d10,max_drawdown_d10
2026-06-21,INTC,,momentum,2,133.99,8,,,29.9,61.0,1.78,128.32,-4.23,,,,1,127.02,-5.2,,0.18,-5.38,1,-11.56
2026-06-21,TER,,breakout,1,437.92,9,,,16.0,61.4,,436.86,-0.24,,,,0,427.34,-2.42,,0.18,-2.6,1,-6.66
2026-06-21,LR.PA,,breakout,2,151.5,9,,,19.9,56.0,,145.95,-3.66,,,,1,146.4,-3.37,,,,1,-5.18
2026-06-21,GEV,,breakout,1,1109.73,8,,,20.1,68.2,,1045.17,-5.82,,,,1,1134.35,2.22,,0.18,2.04,1,-7.81
2026-06-21,IBKR,,breakout,1,96.0,8,,,18.8,71.1,,89.82,-6.44,,,,1,93.25,-2.86,,0.18,-3.04,1,-9.73
2026-06-21,NXT.L,,breakout,2,14140.0,8,,,21.5,75.4,,14805.0,4.7,,,,0,14525.0,2.72,,,,1,-17.29
2026-06-21,RCL,,breakout,1,312.51,7,,,15.9,61.4,,318.13,1.8,,,,0,306.3,-1.99,,0.18,-2.17,1,-10.65
2026-06-21,SGRO.L,,breakout,2,739.8,7,,,16.0,56.8,,880.0,18.95,,,,0,872.3,17.91,,,,0,-1.84
2026-06-21,ADI,,breakout,1,434.46,6,,,20.0,56.5,,386.91,-10.94,,,,1,388.98,-10.47,,0.18,-10.65,1,-11.89
2026-06-21,FIX,,breakout,1,1967.41,6,,,14.7,59.1,,1854.23,-5.75,,,,1,1865.15,-5.2,,0.18,-5.38,1,-6.07
2026-06-21,DAL,,breakout,1,84.18,6,,,30.0,53.4,,92.57,9.97,,,,0,93.06,10.55,,0.18,10.37,0,0.01
2026-06-21,MPWR,,breakout,1,1563.7,6,,,18.5,49.9,,1313.3199,-16.01,,,,1,1331.73,-14.83,,0.18,-15.01,1,-18.51
2026-06-21,NTRS,,breakout,1,172.11,6,,,19.8,60.8,,173.87,1.02,,,,0,175.6,2.03,,0.18,1.85,0,0.08
2026-06-21,PPG,,breakout,2,118.25,6,,,16.8,59.1,,123.24,4.22,,,,0,122.61,3.69,,0.18,3.51,0,-0.78
