id,entry_date,ticker,company,currency,buy_price,stop_loss_price,fx_at_entry,qty,investment_eur,trade_type,strategy,hold_days,target_exit_date,signals,status,actual_sell_date,exit_price,rsi_at_entry,adx_at_entry,minervini_at_entry,vol_ratio_entry,atr_ratio_entry,market_regime_entry,sector,rsi_at_exit,adx_at_exit,minervini_at_exit,vol_ratio_exit,max_dd_1wk,exit_reason
1,2026-06-17,ETR:ENR,Siemens Energy AG,USD,184.4821,178.9476,1.160995,6.2933,1000.0,practice,breakout,7,2026-06-26,,CLOSED,2026-06-26,157.89,,,,,,,BULL,,,,,,
2,2026-06-17,ADI,"Analog Devices, Inc.",USD,422.5,409.825,1.160995,2.7479,1000.0,practice,breakout,7,2026-06-26,,CLOSED,2026-06-26,410.49,48.9,20.4,8,0.7,1.459,BULL,Technology,,,,,,hold_expired
3,2026-06-17,ETN,"Eaton Corporation, PLC",USD,413.16,400.7652,1.160995,2.81,1000.0,practice,breakout,7,2026-06-26,,CLOSED,2026-06-26,410.63,53.2,12.1,7,0.93,1.017,BULL,Industrials,,,,,,hold_expired
4,2026-06-17,CAT,"Caterpillar, Inc.",USD,966.14,937.1558,1.160995,1.2017,1000.0,practice,breakout,7,2026-06-26,NearPiv ADXcurl RSIbase RngTght ▶ PriceBrk,CLOSED,2026-06-26,1057.01,61.2,23.1,8,0.99,1.139,BULL,Industrials,,,,,,hold_expired
5,2026-06-17,GLEN.L,Glencore PLC,EUR,5.865,5.6890,1.0,147.487,865.01,practice,breakout,7,2026-06-26,,CLOSED,2026-06-26,5.1318,53.1,17.1,8,0.65,1.935,BULL,Basic Materials,,,,,,hold_expired
6,2026-06-19,IFX.DE,INFINEON TECHNOLOGIES AG      N,EUR,82.95,80.4615,1.0,12.0555,1000.0,practice,breakout,7,2026-06-30,,CLOSED,2026-06-26,78.61,53.7,39.4,8,0.63,1.259,BULL,Technology,,,,,,manual_target
7,2026-06-17,MCHP,Microchip Technology Incorporat,EUR,84.12,81.5964,1.0,10.0,840.0,real,breakout,7,2026-06-26,,CLOSED,2026-06-22,89.89,47.8,21.9,8,0.86,1.301,BULL,Technology,61.7,21.2,8,0.75,,manual_target
8,2026-06-22,VRT,Vertiv Holdings Co,USD,297.31,288.3907,1.160995,3.365,1000.45,practice,breakout,5,2026-06-29,,CLOSED,2026-06-26,310.58,60.5,15.5,8,0.97,1.06,BULL,Industrials,,,,,,manual_target
9,2026-06-22,SNDK,Sandisk Corporation,USD,1983.47,1923.9659,1.160995,0.5045,1000.66,practice,high_tight_flag,10,2026-07-07,,CLOSED,2026-06-26,2133.54,68.2,47.0,8,0.76,1.423,BULL,Technology,,,,,,manual_target
10,2026-06-22,GWW,"W.W. Grainger, Inc.",USD,1185.48,1149.9156,1.160995,0.838,993.43,practice,pocket_pivot,7,2026-07-01,,CLOSED,2026-06-26,1374.80,75.3,36.3,8,0.9,0.985,BULL,Industrials,,,,,,manual_target
11,2026-06-22,CRL,Charles River Laboratories Inte,EUR,184.8,179.256,1.0,5.404,998.69,practice,pocket_pivot,7,2026-07-01,,CLOSED,2026-06-26,212.71,47.8,19.0,5,0.44,0.92,BULL,Healthcare,,,,,,manual_target
12,2026-06-22,MRVL,"Marvell Technology, Inc.",USD,274.47,266.2359,1.160995,3.64,999.07,practice,high_tight_flag,10,2026-07-07,,CLOSED,2026-06-26,270.50,62.9,41.1,8,0.55,2.457,BULL,Technology,,,,,,manual_target
13,2026-07-24,GWW,"W.W. Grainger, Inc.",USD,1367.46,1326.4362,1.137682,0.832,1000.04,practice,breakout,5,2026-07-31,breakout+cup_handle+williams_pct_r · ✦PROVEN (breakout 57%WR) · score=4 · RSI=56.0 · ADX=34.5 · ★★★ HIGH conviction,OPEN,,,56.0,34.5,8,0.91,1.01,,Industrials,,,,,,
14,2026-07-29,CVS,CVS Health Corporation,USD,107.07,103.8579,1.138654,10.6347,1000.0,practice,defensive_rotation,10,2026-08-12,defensive_rotation+cup_handle · ✦PROVEN (defensive_rotation 44%WR) · score=4 · RSI=61.6 · ADX=32.5 · ★★★ HIGH conviction,OPEN,,,61.6,32.5,5,1.08,,,Healthcare,,,,,,
15,2026-07-31,DCC.L,DCC.L,GBP,63.35,61.4495,0.85606,13.5132,1000.0,practice,breakout,5,2026-08-07,breakout+cup_handle · ✦PROVEN (breakout 56%WR) · score=4 · RSI=60.0 · ADX=33.1 · ★★★ HIGH conviction [corrected 2026-09-04: was stored as 6335 pence mislabeled GBP; 100x price/qty error],OPEN,,,60.0,33.1,8,0.04,0.85,BEAR,,,,,,,
16,2026-07-31,APD,"Air Products and Chemicals, Inc.",USD,299.94,291.194,1.1498,3.83,999.06,real,pocket_pivot,7,2026-08-11,pocket_pivot+vcp · ✦PROVEN (pocket_pivot 86%WR) · score=5 · RSI=50.9 · ADX=18.0 · ★★★ HIGH conviction,OPEN,,,50.9,18.0,8,1.38,,BEAR,,,,,,,
18,2026-08-03,BNY,BNY,USD,156.33,151.6401,1.152871,7.3746,1000.0,practice,breakout,5,2026-08-10,breakout+three_weeks_tight · score=4 · RSI=59.1 · ADX=30.6 · ★★★ HIGH conviction,OPEN,,,59.1,30.6,8,0.6,0.98,BULL,,,,,,,
19,2026-08-03,VTRS,VTRS,USD,17.56,17.0332,1.152871,65.6532,1000.0,practice,breakout,5,2026-08-10,breakout+ema_ribbon+rs_line · ✦PROVEN (breakout 56%WR) · score=4 · RSI=65.2 · ADX=20.4 · ★★★ HIGH conviction,OPEN,,,65.2,20.4,8,1.67,1.02,BULL,,,,,,,
